"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C7";"0805_SMD_CERAMIC_CAP_T491B106K016AT";4;"0.1uF";;;
2;"C4, C8, C12, C13, C23, C24, C35, C36";"0805_SMD_TANT_CAP_T491B106K016AT";8;"10uF";;;
3;"C5, C6";"0805_SMD_CERAMIC_CAP_T491B106K016AT";2;"15 pF";;;
4;"C9, C10, C14, C15, C16, C17, C18, C19, C20, C21, C22, C25, C26, C27, C28, C29, C30, C31, C32, C33, C37";"0805_SMD_CERAMIC_CAP_T491B106K016AT";21;"0.1 uF";;;
5;"C11";"0805_SMD_CERAMIC_CAP_T491B106K016AT";1;"1 uF";;;
6;"D1";"Schottky_diode_BAT54S";1;"BAT54S";;;
7;"D2";"GREEN_LED_LTST-C170KGKT";1;"LTST-C170KGKT";;;
8;"D3, D4, D5, D6, D7, D8, D9, D10";"DIO_Schottky _MBR0530T3G";8;"D_Schottky";;;
9;"DS1, DS2, DS3, DS4, DS5, DS6, DS7, DS8, DS9, DS10, DS11, DS12, DS13, DS14, DS15, DS16, DS17, DS18, DS19, DS20, DS21, DS22, DS23, DS24, DS25, DS26, DS27, DS28, DS29, DS30, DS31, DS32, DS33, DS34, DS35, DS36, DS45, DS46, DS47, DS48, DS49, DS50, DS51, DS52, DS53, DS54, DS55, DS56, DS57, DS58, DS59, DS60, DS61, DS62, DS63, DS64, DS65, DS66, DS67, DS68, DS69, DS70, DS71, DS72, DS73, DS74, DS75, DS76";"SMD_DISPLAY_ACSC03-41EWA-F01";68;"ACSC03-41EWA-F01";;;
10;"E1";"VNC_CONECTOR_1-1337445-0";1;"1-1337445-0";;;
11;"IC1";"ESP32S3WROOM1N16";1;"ESP32-S3-WROOM-1-N16";;;
12;"J1";"PROG_CONECTOR_SAMTEC_FTSH-103-01-F-D";1;"FTSH-103-01-F-D";;;
13;"J2";"4_pin_FTR-104-01-L-S";1;"Conn_01x04_Pin";;;
14;"J3";"POWER_CONE_54-00131";1;"54-00131";;;
15;"LS1";"BUZZER_CMI-9605IC-0580T";1;"CMI-9605IC-0580T";;;
16;"Q1";"TRANSISTOR_MMBT2222A";1;"MMBT2222A";;;
17;"R1, R2";"0805_RES_RESC2012X60N";2;"10K";;;
18;"R3, R4, R5, R6, R7, R8, R10, R11, R22, R23, R24, R25, R26, R27, R33, R34, R35, R36";"0805_RES_RESC2012X60N";18;"10k";;;
19;"R9";"0805_RES_RESC2012X60N";1;"68";;;
20;"R12, R13, R14, R15, R16, R17, R18, R19, R20";"0805_RES_RESC2012X60N";9;"3v=24.5k, 1.8v=29.8k";;;
21;"R21";"0805_RES_RESC2012X60N";1;"1k";;;
22;"R28, R29, R30, R31, R32, R38, R39, R40, R41";"0805_RES_RESC2012X60N";9;"220";;;
23;"SW1, SW2";"BUTTON_TL3301FF160QG";2;"TL3301FF160QG";;;
24;"SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11";"PUSH_BUTTON_ADTS24NV";9;"ADTS24NV";;;
25;"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP15";"TestPoint_Pad_1.0x1.0mm";9;"TestPoint";;;
26;"U1";"LS7366R-S";1;"SOIC127P600X175-14N";;;
27;"U2";"LEVEL_SHIFTER_TXB0104DR";1;"TXB0104DR";;;
28;"U3";"V_REGU_LP3875EMP-3.3";1;"LP3875EMP-3.3";;;
29;"U4, U5, U6, U7, U8, U9, U10, U11, U12";"Disp_Controler_MAX7221CWG_";9;"MAX7221CWG_";;;
30;"U15, U16";"Schimitt_Trigger_74HC14D_653";2;"74HC14D_653";;;
